2026-09-18T10:38:11Z INFO Logging to /tmp/logs/update_2026-09-18T10-38-11Z.log.
2026-09-18T10:38:11Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T10:38:11Z INFO Processing 500 items (48787 already recorded).
2026-09-18T10:48:34Z INFO [130/500] 04350c91-e494-4936-9aa4-6613f1904a62: Sackin index -0.1349; 0.7 s; peak memory 540 MiB.
2026-09-18T10:48:35Z INFO [131/500] 043590a5-df92-4eeb-8cc2-9cc9ac85811f: Sackin index -0.0702; 0.8 s; peak memory 540 MiB.
2026-09-18T10:48:36Z INFO [132/500] 0435fd93-fed4-4359-80fb-37fce18b7954: Sackin index -0.0728; 0.9 s; peak memory 540 MiB.
2026-09-18T10:48:38Z INFO [133/500] 04366e29-7a6f-444e-b730-9e503a86b0f0: Sackin index -0.0403; 2.7 s; peak memory 540 MiB.
2026-09-18T10:48:39Z INFO [134/500] 0437189b-192f-4237-afaf-3a1cfbe117d8: Sackin index -0.0728; 1.1 s; peak memory 540 MiB.
2026-09-18T10:48:40Z INFO [135/500] 04377cb5-db9e-42f2-a313-b2732d7e5974: Sackin index -0.0702; 0.8 s; peak memory 540 MiB.
2026-09-18T10:48:41Z INFO [136/500] 043968a8-73ee-481d-90d9-f17fe4498a6f: Sackin index -0.0728; 1.1 s; peak memory 540 MiB.
2026-09-18T10:48:42Z INFO [137/500] 043a4f0e-713e-4eec-a40c-d187d83995de: Sackin index -0.1191; 0.8 s; peak memory 540 MiB.
2026-09-18T10:48:43Z INFO [138/500] 043b70a5-efa9-4e4a-9391-6a20a7b99ddf: Sackin index -0.0702; 0.7 s; peak memory 540 MiB.
2026-09-18T10:48:44Z INFO [139/500] 043c6d04-da9f-4323-b4d6-dce8b4a7f831: Sackin index -0.1390; 1.0 s; peak memory 540 MiB.
2026-09-18T10:48:45Z INFO [140/500] 043c78fe-484d-4535-9ee3-c887e37e3c3d: Sackin index -0.1161; 0.5 s; peak memory 540 MiB.
2026-09-18T10:48:45Z INFO [141/500] 043d843c-f384-4d6b-82ea-be3f15c24b4d: Sackin index -0.1248; 0.6 s; peak memory 540 MiB.
