2026-09-19T18:26:23Z INFO Logging to /tmp/logs/update_2026-09-19T18-26-23Z.log.
2026-09-19T18:26:23Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-19T18:26:23Z INFO Processing 350 items (50643 already recorded).
2026-09-19T18:54:57Z INFO [92/350] 0806f6cc-3e86-4d27-82bd-365f0314daef: Sackin index -0.1349; 1.4 s; peak memory 1203 MiB.
2026-09-19T18:54:59Z INFO [93/350] 08081105-376d-4f04-97fa-635a61414dbf: Sackin index -0.0728; 1.8 s; peak memory 1203 MiB.
2026-09-19T18:55:00Z INFO [94/350] 08087f22-0755-4995-901e-c02ce50d9c3d: Sackin index -0.1349; 1.4 s; peak memory 1203 MiB.
2026-09-19T18:55:03Z INFO [95/350] 080a226e-9217-4c85-85b7-53898c34fbb2: Sackin index -0.0728; 2.2 s; peak memory 1203 MiB.
2026-09-19T18:55:04Z INFO [96/350] 080a98e2-a363-48b4-9aee-31e536bab336: Sackin index -0.1349; 1.4 s; peak memory 1203 MiB.
2026-09-19T18:56:52Z INFO [97/350] 080aa351-1c73-4eaf-9717-46c9606231d8: Sackin index -0.0393; 108.1 s; peak memory 1203 MiB.
2026-09-19T18:56:53Z INFO [98/350] 080acf58-96ec-4d5c-be12-b31315708868: Sackin index -0.1397; 1.2 s; peak memory 1203 MiB.
2026-09-19T18:56:55Z INFO [99/350] 080b32b7-3194-4696-9f49-0f7148b9d7e0: Sackin index -0.0891; 1.9 s; peak memory 1203 MiB.
2026-09-19T18:56:57Z INFO [100/350] 080b7fc5-06bd-478d-b62f-81d300a2985b: Sackin index -0.1033; 1.6 s; peak memory 1203 MiB.
2026-09-19T18:56:57Z INFO [100/350] 080b7fc5-06bd-478d-b62f-81d300a2985b: checkpointed 50743 records.
2026-09-19T18:56:58Z INFO [101/350] 080cbd29-5b4f-42f9-b5c8-b2792b68de76: Sackin index -0.1349; 1.3 s; peak memory 1203 MiB.
2026-09-19T18:57:02Z INFO [102/350] 080e37b1-20e7-48f1-8e75-969cc5cc9c46: Sackin index -0.0676; 3.2 s; peak memory 1203 MiB.
2026-09-19T18:57:03Z INFO [103/350] 080ead08-120d-43c9-9460-ff5772c1ea53: Sackin index -0.0388; 1.5 s; peak memory 1203 MiB.
2026-09-19T18:57:08Z INFO [104/350] 080ec6f5-5705-4391-b209-cd3b5657f0f9: Sackin index -0.0392; 5.4 s; peak memory 1203 MiB.
2026-09-19T18:57:11Z INFO [105/350] 0810b615-6e7d-4e79-81a1-de868a74b958: Sackin index -0.0375; 2.1 s; peak memory 1203 MiB.
2026-09-19T18:57:12Z INFO [106/350] 0810e050-29c7-4501-8fb3-4c737589ea17: Sackin index -0.1658; 1.3 s; peak memory 1203 MiB.
2026-09-19T18:57:14Z INFO [107/350] 081191fc-269a-4a6f-ab4e-3e71257f8bd4: Sackin index -0.1273; 1.7 s; peak memory 1203 MiB.
2026-09-19T18:57:15Z INFO [108/350] 0812ce55-2a30-4f18-8133-0ec569f0a3d3: Sackin index -0.1349; 1.4 s; peak memory 1203 MiB.
2026-09-19T18:57:16Z INFO [109/350] 08131d7e-a6f5-44fd-87ab-7cfa5b9b21f2: Sackin index -0.1349; 1.4 s; peak memory 1203 MiB.
2026-09-19T18:57:18Z INFO [110/350] 081344fb-2bb5-44bd-87d2-e67394d577ea: Sackin index -0.1383; 1.7 s; peak memory 1203 MiB.
2026-09-19T18:57:20Z INFO [111/350] 0813dd3d-70fd-4dd3-9052-13d42be479fb: Sackin index -0.0728; 1.9 s; peak memory 1203 MiB.
2026-09-19T18:59:08Z INFO [112/350] 08149513-bea4-48b6-a6b7-79940fa07c5e: Sackin index -0.0393; 107.6 s; peak memory 1203 MiB.
2026-09-19T18:59:29Z INFO [113/350] 08150ad1-efaf-4b5c-9fd3-ba1c83185380: Sackin index -0.1375; 20.9 s; peak memory 1203 MiB.
2026-09-19T18:59:30Z INFO [114/350] 08165ee6-c991-4307-b32c-13f98c44dc1e: Sackin index -0.0696; 1.8 s; peak memory 1203 MiB.
2026-09-19T18:59:32Z INFO [115/350] 08174b5b-903c-4041-820f-52cf629cc935: Sackin index -0.0702; 1.8 s; peak memory 1203 MiB.
2026-09-19T18:59:34Z INFO [116/350] 08175b64-1c9b-43ba-9109-caa65b9ba036: Sackin index -0.0696; 1.7 s; peak memory 1203 MiB.
2026-09-19T18:59:35Z INFO [117/350] 081784e5-d2ca-4865-be9a-9ddde39cc092: Sackin index -0.1349; 1.3 s; peak memory 1203 MiB.
2026-09-19T18:59:39Z INFO [118/350] 081787e2-0e0b-417f-a472-56882167d23c: Sackin index -0.0361; 3.7 s; peak memory 1203 MiB.
2026-09-19T18:59:55Z INFO [119/350] 08180f7e-aa56-4676-ae1b-37c014b5263e: Sackin index -0.0235; 16.1 s; peak memory 1203 MiB.
2026-09-19T18:59:56Z INFO [120/350] 08193ff6-e391-4b6d-a676-ffb58b6be250: Sackin index -0.1237; 1.2 s; peak memory 1203 MiB.
2026-09-19T18:59:58Z INFO [121/350] 0819a3d2-0b3c-44c3-b2ad-ab25790bfa90: Sackin index -0.0728; 1.7 s; peak memory 1203 MiB.
2026-09-19T19:00:05Z INFO [122/350] 081ad8f9-bc93-4b86-8bf7-b02f339320bc: Sackin index -0.0258; 6.8 s; peak memory 1203 MiB.
2026-09-19T19:00:06Z INFO [123/350] 081af579-2479-4631-9ddb-3bfd97411b78: Sackin index -0.1602; 1.3 s; peak memory 1203 MiB.
2026-09-19T19:00:12Z INFO [124/350] 081b1b22-fc7f-4804-bd67-7e94ebd48f92: Sackin index -0.0230; 6.1 s; peak memory 1203 MiB.
2026-09-19T19:00:13Z INFO [125/350] 081d052a-06c6-4443-be9e-f5fd212249d8: Sackin index -0.1658; 1.2 s; peak memory 1203 MiB.
2026-09-19T19:00:15Z INFO [126/350] 081d4da0-1554-4087-9bc2-ebb181101808: Sackin index -0.1349; 1.4 s; peak memory 1203 MiB.
2026-09-19T19:00:22Z INFO [127/350] 081d52ff-55a5-45dd-8ce7-40f8d95c9303: Sackin index -0.0466; 6.9 s; peak memory 1203 MiB.
2026-09-19T19:00:23Z INFO [128/350] 081e054f-a0b2-43f9-b7e0-a8113c836904: Sackin index -0.1349; 1.4 s; peak memory 1203 MiB.
2026-09-19T19:00:26Z INFO [129/350] 081e208b-589b-40c5-9894-7d304c15154f: Sackin index -0.1938; 3.0 s; peak memory 1203 MiB.
2026-09-19T19:00:27Z INFO [130/350] 081eaa70-1eda-46ba-8fec-942d6c99f28f: Sackin index -0.1120; 1.0 s; peak memory 1203 MiB.
2026-09-19T19:00:34Z INFO [131/350] 081fe5d1-47bd-4403-9198-61671c5fdbab: Sackin index -0.0415; 7.1 s; peak memory 1203 MiB.
2026-09-19T19:00:36Z INFO [132/350] 082190f4-0345-46c1-8f04-883b667a41bb: Sackin index -0.0449; 2.2 s; peak memory 1203 MiB.
2026-09-19T19:00:37Z INFO [133/350] 0821ce7e-c349-4eff-b34a-73fa7fec66ac: Sackin index -0.1658; 1.2 s; peak memory 1203 MiB.
2026-09-19T19:00:39Z INFO [134/350] 08236bc0-1957-4931-9bb9-3e9a930c88c5: Sackin index -0.1191; 1.1 s; peak memory 1203 MiB.
2026-09-19T19:00:40Z INFO [135/350] 082375b8-6d25-46b4-a637-0ce12e82c9bb: Sackin index -0.1349; 1.3 s; peak memory 1203 MiB.
2026-09-19T19:00:58Z INFO [136/350] 082606e0-1cf7-4f4a-9d76-4eac5fbfda6e: Sackin index -0.1367; 18.4 s; peak memory 1203 MiB.
2026-09-19T19:01:00Z INFO [137/350] 08262afa-18e2-4028-8702-bf74912e2e9d: Sackin index -0.0728; 2.2 s; peak memory 1203 MiB.
2026-09-19T19:04:32Z INFO [138/350] 08264c96-013b-43a6-b652-edca3ed9a5c6: Sackin index -0.0414; 211.8 s; peak memory 1203 MiB.
2026-09-19T19:04:37Z INFO [139/350] 08266599-6916-4cbd-bdc2-6468cb5072cd: Sackin index -0.1938; 5.0 s; peak memory 1203 MiB.
2026-09-19T19:04:40Z INFO [140/350] 08268f2d-e7f3-4c75-8a67-dd0c8ec5cc8b: Sackin index -0.1291; 2.2 s; peak memory 1203 MiB.
2026-09-19T19:04:47Z INFO [141/350] 082690b6-f31e-456f-b595-f3c37dedccc2: Sackin index -0.0383; 7.3 s; peak memory 1203 MiB.
2026-09-19T19:04:49Z INFO [142/350] 08277a88-ef49-4bd3-8aec-621e586b01f1: Sackin index -0.0702; 1.9 s; peak memory 1203 MiB.
2026-09-19T19:04:50Z INFO [143/350] 0827afc9-2725-47d7-8f67-c6628bfc115e: Sackin index -0.1349; 1.3 s; peak memory 1203 MiB.
2026-09-19T19:04:51Z INFO [144/350] 0827c30c-bbca-4ef3-b763-92013028b9b3: Sackin index -0.0748; 1.5 s; peak memory 1203 MiB.
2026-09-19T19:04:55Z INFO [145/350] 08280e9b-05fa-4e85-9e0b-a36b0c1d2dfc: Sackin index -0.0660; 3.9 s; peak memory 1203 MiB.
2026-09-19T19:04:57Z INFO [146/350] 082896b3-bf57-48f2-a34d-bdbdc98c2480: Sackin index -0.1383; 1.8 s; peak memory 1203 MiB.
2026-09-19T19:04:59Z INFO [147/350] 0828f847-62e9-443f-8241-3960985ddab3: Sackin index -0.1257; 1.8 s; peak memory 1203 MiB.
2026-09-19T19:05:01Z INFO [148/350] 082a00dc-ceb2-4891-981c-c75a912b4452: Sackin index -0.0709; 1.7 s; peak memory 1203 MiB.
2026-09-19T19:05:39Z INFO [149/350] 082ab6a7-dfd2-4a12-b50e-d06b62258e6b: Sackin index -0.0843; 38.8 s; peak memory 1203 MiB.
2026-09-19T19:05:41Z INFO [150/350] 082b0e8f-ec6f-4ca3-b32c-c5bca6dbeb19: Sackin index -0.0709; 1.7 s; peak memory 1203 MiB.
2026-09-19T19:05:41Z INFO [150/350] 082b0e8f-ec6f-4ca3-b32c-c5bca6dbeb19: checkpointed 50793 records.
2026-09-19T19:05:42Z INFO [151/350] 082c42a6-b978-4994-815e-ca3e6e30490b: Sackin index -0.1658; 1.1 s; peak memory 1203 MiB.
2026-09-19T19:05:44Z INFO [152/350] 082d6847-b952-43fc-852f-2edf7ff8f529: Sackin index -0.1273; 1.6 s; peak memory 1203 MiB.
2026-09-19T19:05:45Z INFO [153/350] 082e3dce-cdef-457b-89a7-aa9c1c018b96: Sackin index -0.0707; 1.5 s; peak memory 1203 MiB.
2026-09-19T19:05:47Z INFO [154/350] 082e9caf-4a3f-406a-849d-8dfa756c43ab: Sackin index -0.1273; 1.8 s; peak memory 1203 MiB.
2026-09-19T19:05:49Z INFO [155/350] 0830fd8e-81ac-4418-ac84-fbf3e55a3bc5: Sackin index -0.0709; 1.5 s; peak memory 1203 MiB.
2026-09-19T19:05:51Z INFO [156/350] 08313b66-cc4c-4431-b42d-613d7213c2fa: Sackin index -0.0728; 1.9 s; peak memory 1203 MiB.
2026-09-19T19:05:55Z INFO [157/350] 0831be94-6742-49b2-97ef-73f3c6d705f0: Sackin index -0.0660; 3.9 s; peak memory 1203 MiB.
2026-09-19T19:05:56Z INFO [158/350] 0832b254-d218-4df2-8eae-5b5b0d865636: Sackin index -0.1349; 1.2 s; peak memory 1203 MiB.
2026-09-19T19:06:25Z INFO [159/350] 0832b661-39a4-42e1-b11f-0d90f4a57aaf: Sackin index -0.0137; 29.6 s; peak memory 1203 MiB.
2026-09-19T19:08:16Z INFO [160/350] 0832e9d8-b429-4259-a565-d8b5df4416d7: Sackin index -0.0414; 110.4 s; peak memory 1203 MiB.
2026-09-19T19:08:18Z INFO [161/350] 083326cd-a7c4-4b22-9a89-b14b5d0934c1: Sackin index -0.0709; 2.0 s; peak memory 1203 MiB.
2026-09-19T19:08:19Z INFO [162/350] 0833faa8-c63a-40bb-b240-7263322c6b7e: Sackin index -0.1349; 1.5 s; peak memory 1203 MiB.
2026-09-19T19:08:28Z INFO [163/350] 083482c9-7bad-43d6-baf5-9572811ec3eb: Sackin index -0.0198; 9.1 s; peak memory 1203 MiB.
