2026-09-21T12:05:01Z INFO Logging to /tmp/logs/update_2026-09-21T12-05-01Z.log.
2026-09-21T12:05:01Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-21T12:05:01Z INFO Processing 367 items (52499 already recorded).
2026-09-21T12:10:58Z INFO [123/367] 0bfefd5b-ad99-4e48-973e-d440d5458645: Sackin index -0.0415; 4.2 s; peak memory 290 MiB.
2026-09-21T12:11:06Z INFO [124/367] 0c0086e2-bf72-4dae-8de6-2c317816fea8: Sackin index -0.0132; 7.8 s; peak memory 290 MiB.
2026-09-21T12:11:06Z INFO [125/367] 0c01c2e2-c0d7-4375-945e-9abd47741968: Sackin index -0.1349; 0.9 s; peak memory 290 MiB.
2026-09-21T12:11:11Z INFO [126/367] 0c01db87-564c-49eb-b459-e48b0867216c: Sackin index -0.0435; 4.7 s; peak memory 290 MiB.
2026-09-21T12:11:14Z INFO [127/367] 0c0244aa-10cc-40dd-a189-819cb2bd20b5: Sackin index -0.0695; 2.4 s; peak memory 290 MiB.
2026-09-21T12:11:15Z INFO [128/367] 0c02d440-5747-4207-bf75-726b8966e231: Sackin index -0.0376; 1.2 s; peak memory 290 MiB.
2026-09-21T12:11:16Z INFO [129/367] 0c033e16-687b-483b-a370-a4b25d7eefcb: Sackin index -0.0376; 1.1 s; peak memory 290 MiB.
2026-09-21T12:11:17Z INFO [130/367] 0c036435-f5e1-4b02-8cee-61edbf7790cf: Sackin index -0.1349; 0.9 s; peak memory 290 MiB.
2026-09-21T12:11:21Z INFO [131/367] 0c03d995-e16f-4a8a-b14e-61f65a4102d6: Sackin index -0.0403; 4.3 s; peak memory 290 MiB.
2026-09-21T12:11:41Z INFO [132/367] 0c056b43-6267-48ae-b2bf-0ec117c12194: Sackin index -0.1367; 19.7 s; peak memory 290 MiB.
2026-09-21T12:11:42Z INFO [133/367] 0c05f8d7-4db4-4e87-8197-025322337f19: Sackin index -0.1349; 1.0 s; peak memory 290 MiB.
2026-09-21T12:11:43Z INFO [134/367] 0c06ba2d-380c-4171-82d5-0c5f075e7b3b: Sackin index -0.1349; 0.9 s; peak memory 290 MiB.
2026-09-21T12:11:43Z INFO [135/367] 0c073c33-97f8-4353-be2c-b2fe76aa6fc5: Sackin index -0.1349; 0.8 s; peak memory 290 MiB.
2026-09-21T12:11:49Z INFO [136/367] 0c079a8b-4343-4566-ac18-af39d1bca5dc: Sackin index -0.0367; 6.0 s; peak memory 290 MiB.
2026-09-21T12:11:50Z INFO [137/367] 0c0873ee-8af0-40af-90c6-913fbcbc1f93: Sackin index -0.1575; 0.8 s; peak memory 290 MiB.
2026-09-21T12:11:51Z INFO [138/367] 0c08e2b1-efc9-473f-8b05-6131a84a1936: Sackin index -0.1349; 0.8 s; peak memory 290 MiB.
2026-09-21T12:11:54Z INFO [139/367] 0c09694b-0f96-4e65-aaf1-af1f7f4a3187: Sackin index -0.0430; 3.5 s; peak memory 290 MiB.
2026-09-21T12:11:55Z INFO [140/367] 0c0a789b-c523-4280-a8fe-93225d9277d7: Sackin index -0.1349; 0.8 s; peak memory 290 MiB.
2026-09-21T12:11:56Z INFO [141/367] 0c0a837a-849f-4d35-b2d6-f1bc992dbe1d: Sackin index -0.1349; 0.9 s; peak memory 290 MiB.
2026-09-21T12:12:04Z INFO [142/367] 0c0ad8a8-60c1-4148-a1b3-666f36fc16aa: Sackin index -0.0135; 8.0 s; peak memory 290 MiB.
2026-09-21T12:12:05Z INFO [143/367] 0c0c20fd-c4ca-43c0-b103-8ba372f3a7d7: Sackin index -0.0702; 1.1 s; peak memory 290 MiB.
2026-09-21T12:12:10Z INFO [144/367] 0c0c5077-0950-451d-8c9f-448165156bf7: Sackin index -0.0614; 4.8 s; peak memory 290 MiB.
2026-09-21T12:12:25Z INFO [145/367] 0c0dbb76-efe6-4339-8b1b-c09a84b384c5: Sackin index -0.0163; 14.8 s; peak memory 290 MiB.
2026-09-21T12:12:26Z INFO [146/367] 0c0dce25-3030-42f5-ae76-81fd98a7b7c5: Sackin index -0.0702; 0.9 s; peak memory 290 MiB.
2026-09-21T12:12:29Z INFO [147/367] 0c0e0290-843e-44c4-861e-f33a7346f108: Sackin index -0.0069; 2.7 s; peak memory 290 MiB.
2026-09-21T12:12:30Z INFO [148/367] 0c0e67e4-7f3c-449f-a18e-2b5577a9ff71: Sackin index -0.0376; 1.4 s; peak memory 290 MiB.
2026-09-21T12:12:31Z INFO [149/367] 0c0e784f-95ac-4835-a11b-937ac1344eb1: Sackin index -0.1178; 0.6 s; peak memory 290 MiB.
2026-09-21T12:12:32Z INFO [150/367] 0c0ea99d-f66a-41a5-b905-8332196e402f: Sackin index -0.0369; 1.3 s; peak memory 290 MiB.
2026-09-21T12:12:32Z INFO [150/367] 0c0ea99d-f66a-41a5-b905-8332196e402f: checkpointed 52649 records.
2026-09-21T12:12:33Z INFO [151/367] 0c0f3236-b508-42c9-93dd-6ef403f97a7e: Sackin index -0.0387; 0.9 s; peak memory 290 MiB.
2026-09-21T12:12:34Z INFO [152/367] 0c0f91f5-7cf7-4e84-be71-35bec34d05a0: Sackin index -0.0728; 1.3 s; peak memory 290 MiB.
2026-09-21T12:12:37Z INFO [153/367] 0c102576-35cd-40ca-9780-64e6bfc18e6f: Sackin index -0.0547; 3.2 s; peak memory 290 MiB.
2026-09-21T12:12:39Z INFO [154/367] 0c10ebf2-ee30-4df4-b78e-e2b3fead1ff6: Sackin index -0.0738; 1.4 s; peak memory 290 MiB.
2026-09-21T12:12:40Z INFO [155/367] 0c115bca-a458-4138-b185-40a39089a2c6: Sackin index -0.0702; 1.2 s; peak memory 290 MiB.
2026-09-21T12:12:41Z INFO [156/367] 0c122516-de0b-4f6a-b25e-637936b38f1b: Sackin index -0.1349; 1.0 s; peak memory 290 MiB.
2026-09-21T12:12:42Z INFO [157/367] 0c125d2c-6908-435e-abed-6000af90c265: Sackin index -0.0483; 1.2 s; peak memory 290 MiB.
2026-09-21T12:12:54Z INFO [158/367] 0c12e027-075f-4baf-b3ea-c1d666f2e83b: Sackin index -0.0191; 11.7 s; peak memory 290 MiB.
2026-09-21T12:12:56Z INFO [159/367] 0c12fb8d-0a95-4dab-9330-49901190edf9: Sackin index -0.0676; 1.7 s; peak memory 290 MiB.
2026-09-21T12:13:02Z INFO [160/367] 0c1307af-2500-40e4-b57d-2b121af63801: Sackin index -0.0022; 6.6 s; peak memory 290 MiB.
2026-09-21T12:13:03Z INFO [161/367] 0c1346ca-c08f-45fb-8c53-6a31863dbb9f: Sackin index -0.0956; 1.1 s; peak memory 290 MiB.
2026-09-21T12:13:04Z INFO [162/367] 0c135bf5-edec-45aa-b4d2-10c84f441c4f: Sackin index -0.1349; 0.9 s; peak memory 290 MiB.
2026-09-21T12:13:06Z INFO [163/367] 0c137387-db8e-4ff4-8d0e-f47390dc1b3a: Sackin index -0.0702; 1.7 s; peak memory 290 MiB.
