2026-09-17T16:18:29Z INFO Logging to /tmp/logs/update_2026-09-17T16-18-29Z.log.
2026-09-17T16:18:29Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T16:18:29Z INFO Processing 385 items (48030 already recorded).
2026-09-17T17:01:16Z INFO [108/385] 028801d5-ab2d-4a7e-9561-673e12734d37: Sackin index -0.0709; 1.7 s; peak memory 1308 MiB.
2026-09-17T17:01:18Z INFO [109/385] 0288de74-0668-4073-9ec2-b1be49cd1fe2: Sackin index -0.1349; 1.4 s; peak memory 1308 MiB.
2026-09-17T17:01:20Z INFO [110/385] 028953a2-2dd4-4a63-ae1f-0b6ef1cfc94e: Sackin index -0.0745; 1.9 s; peak memory 1308 MiB.
2026-09-17T17:01:21Z INFO [111/385] 028979ab-3a71-405c-9eb1-85486f0b8192: Sackin index -0.1349; 1.4 s; peak memory 1308 MiB.
2026-09-17T17:01:23Z INFO [112/385] 028a4a06-4529-47fb-b5d8-9d0b041e4100: Sackin index -0.0696; 1.8 s; peak memory 1308 MiB.
2026-09-17T17:01:24Z INFO [113/385] 028b6b5e-5f02-4f14-a1c1-6db68da7eef4: Sackin index -0.1349; 1.5 s; peak memory 1308 MiB.
2026-09-17T17:01:26Z INFO [114/385] 028be36d-33e7-4cc7-aabe-b35d358f2eea: Sackin index -0.0709; 1.8 s; peak memory 1308 MiB.
2026-09-17T17:01:28Z INFO [115/385] 028c061c-c72b-49f9-a0da-04dcaf9da140: Sackin index -0.0375; 1.8 s; peak memory 1308 MiB.
2026-09-17T17:01:45Z INFO [116/385] 028d135a-7ce8-42eb-af71-7247c3203f28: Sackin index -0.0148; 16.8 s; peak memory 1308 MiB.
2026-09-17T17:01:47Z INFO [117/385] 028dfba3-b9bc-4f66-8875-e101935eecf3: Sackin index -0.0702; 1.7 s; peak memory 1308 MiB.
2026-09-17T17:01:49Z INFO [118/385] 028e5921-08e8-4dc6-8dd5-e536a8f320fb: Sackin index -0.0369; 2.4 s; peak memory 1308 MiB.
2026-09-17T17:01:50Z INFO [119/385] 028ead3b-09ae-4b5f-9697-c51638a55c9c: Sackin index -0.1349; 1.3 s; peak memory 1308 MiB.
2026-09-17T17:01:52Z INFO [120/385] 028ef11f-c970-4265-8ab7-83172c4be6aa: Sackin index -0.1349; 1.5 s; peak memory 1308 MiB.
2026-09-17T17:01:53Z INFO [121/385] 028fc389-ac38-4662-b310-efd45233854f: Sackin index -0.1658; 1.1 s; peak memory 1308 MiB.
2026-09-17T17:02:02Z INFO [122/385] 02905b08-b0de-402c-a7db-e62e49f05671: Sackin index -0.0248; 8.9 s; peak memory 1308 MiB.
2026-09-17T17:02:03Z INFO [123/385] 0290f830-5dad-4a54-81f3-fd456cd54b17: Sackin index -0.1349; 1.2 s; peak memory 1308 MiB.
2026-09-17T17:02:07Z INFO [124/385] 0290fa92-2465-4fed-8343-9bb5c1bc9974: Sackin index -0.0395; 3.6 s; peak memory 1308 MiB.
2026-09-17T17:02:08Z INFO [125/385] 0291822b-1a0b-4ce3-bef3-c4eb937ab88e: Sackin index -0.1349; 1.4 s; peak memory 1308 MiB.
2026-09-17T17:02:10Z INFO [126/385] 0291edda-91e2-4268-b7c4-453a5550909e: Sackin index -0.1248; 1.5 s; peak memory 1308 MiB.
2026-09-17T17:02:19Z INFO [127/385] 029295d9-7ab6-49d9-af94-d28f2b3bbde5: Sackin index -0.0940; 9.5 s; peak memory 1308 MiB.
2026-09-17T17:02:20Z INFO [128/385] 02935dd8-b9a1-4625-8c3a-f8f14ff0e25e: Sackin index -0.1448; 1.1 s; peak memory 1308 MiB.
2026-09-17T17:02:30Z INFO [129/385] 02937297-72ad-4c19-8e02-f0bc9d9f5c0f: Sackin index -0.0148; 9.6 s; peak memory 1308 MiB.
2026-09-17T17:02:32Z INFO [130/385] 02938ebc-1379-4389-af75-d487d29f0a27: Sackin index -0.0728; 2.3 s; peak memory 1308 MiB.
2026-09-17T17:02:49Z INFO [131/385] 02946b87-acda-4ee1-8dc5-19939ec7b787: Sackin index -0.0179; 16.8 s; peak memory 1308 MiB.
