2026-09-17T20:58:55Z INFO Logging to /tmp/logs/update_2026-09-17T20-58-55Z.log.
2026-09-17T20:58:55Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T20:58:55Z INFO Processing 372 items (48415 already recorded).
2026-09-17T21:22:30Z INFO [124/372] 035f8da8-c282-4763-acd1-e6e254f65d29: Sackin index -0.1013; 2.4 s; peak memory 1096 MiB.
2026-09-17T21:22:32Z INFO [125/372] 035fb1c0-567d-4f59-9140-f0d7cdd67882: Sackin index -0.0369; 2.6 s; peak memory 1096 MiB.
2026-09-17T21:22:34Z INFO [126/372] 035ff603-49ef-41ce-bf8f-38e39f6f0780: Sackin index -0.1349; 1.3 s; peak memory 1096 MiB.
2026-09-17T21:22:37Z INFO [127/372] 036089c0-5bef-4f09-97b1-bc7e5ddaa441: Sackin index -0.0699; 3.2 s; peak memory 1096 MiB.
2026-09-17T21:22:39Z INFO [128/372] 0360b7ac-16ea-4852-823d-6525164e418d: Sackin index -0.1349; 1.5 s; peak memory 1096 MiB.
2026-09-17T21:22:40Z INFO [129/372] 0360e12b-d6c4-4094-bc19-6a125f427d38: Sackin index -0.1349; 1.4 s; peak memory 1096 MiB.
2026-09-17T21:22:43Z INFO [130/372] 0361752b-de7f-4a93-b272-4e35b9987ed0: Sackin index -0.0842; 3.3 s; peak memory 1096 MiB.
2026-09-17T21:22:45Z INFO [131/372] 036212a9-0cc2-4b88-af0f-f2ac683244f0: Sackin index -0.1533; 1.4 s; peak memory 1096 MiB.
2026-09-17T21:22:46Z INFO [132/372] 036217bf-e4b1-433e-8ca7-f2193e63991a: Sackin index -0.1349; 1.5 s; peak memory 1096 MiB.
2026-09-17T21:22:48Z INFO [133/372] 0362a1f6-e2d0-4115-9d80-477aca7e9258: Sackin index -0.1248; 1.6 s; peak memory 1096 MiB.
2026-09-17T21:22:50Z INFO [134/372] 0362fbde-a28a-428a-a17c-bfee09afdb6c: Sackin index -0.0696; 1.9 s; peak memory 1096 MiB.
2026-09-17T21:22:51Z INFO [135/372] 0363223b-f442-47fe-ba10-461f0d59c477: Sackin index -0.0702; 1.8 s; peak memory 1096 MiB.
