2026-09-24T00:15:34Z INFO Logging to /tmp/logs/update_2026-09-24T00-15-34Z.log.
2026-09-24T00:15:34Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-24T00:15:35Z INFO Processing 379 items (55419 already recorded).
2026-09-24T00:31:19Z INFO [140/379] 1212b804-9350-470b-a18e-dbd8cd944a09: Sackin index -0.0123; 18.8 s; peak memory 266 MiB.
2026-09-24T00:31:20Z INFO [141/379] 12134ed9-8cb8-4b9b-840f-f31d01b93aaf: Sackin index -0.1248; 1.4 s; peak memory 266 MiB.
2026-09-24T00:31:23Z INFO [142/379] 121350f7-2f15-4894-b070-3bfbb20f3cd3: Sackin index -0.0681; 3.0 s; peak memory 266 MiB.
2026-09-24T00:31:24Z INFO [143/379] 1215143d-de87-4b46-b417-0e0bac375456: Sackin index -0.1349; 1.4 s; peak memory 266 MiB.
2026-09-24T00:31:35Z INFO [144/379] 1215d3f1-4998-4119-a1c8-3e2bc03ca793: Sackin index -0.0258; 10.8 s; peak memory 266 MiB.
2026-09-24T00:31:41Z INFO [145/379] 121643b9-965a-48cb-b1cc-a781615665dc: Sackin index -0.0351; 5.3 s; peak memory 266 MiB.
2026-09-24T00:32:40Z INFO [146/379] 1216b8bb-5b2d-463f-8814-dd441be25ae3: Sackin index -0.0032; 59.1 s; peak memory 266 MiB.
2026-09-24T00:32:41Z INFO [147/379] 121720c9-e282-4112-bb5e-b4af4895da0a: Sackin index -0.0709; 1.7 s; peak memory 266 MiB.
2026-09-24T00:32:43Z INFO [148/379] 1217343c-f3cb-40c9-933c-eacd21fb8af3: Sackin index -0.1349; 1.3 s; peak memory 266 MiB.
2026-09-24T00:32:44Z INFO [149/379] 12174aa1-75f8-4865-b70a-23d7ed7f583c: Sackin index -0.1023; 1.6 s; peak memory 266 MiB.
2026-09-24T00:32:46Z INFO [150/379] 1217db55-6c2b-4a4c-b3c8-ebac212d1f82: Sackin index -0.0702; 1.5 s; peak memory 266 MiB.
2026-09-24T00:32:46Z INFO [150/379] 1217db55-6c2b-4a4c-b3c8-ebac212d1f82: checkpointed 55569 records.
2026-09-24T00:32:47Z INFO [151/379] 12183924-2f33-492d-8687-27f8ecb8f0c8: Sackin index -0.1191; 1.3 s; peak memory 266 MiB.
2026-09-24T00:32:49Z INFO [152/379] 121a1419-772f-407b-931e-1f6fdcc2d56b: Sackin index -0.0745; 2.0 s; peak memory 266 MiB.
2026-09-24T00:32:51Z INFO [153/379] 121aa54f-7a26-4e7a-855f-e209fac313cb: Sackin index -0.1728; 1.4 s; peak memory 266 MiB.
2026-09-24T00:32:52Z INFO [154/379] 121ad2be-6ddc-48e5-850d-76d4ddb02744: Sackin index -0.1349; 1.3 s; peak memory 266 MiB.
2026-09-24T00:32:54Z INFO [155/379] 121b56b5-3d0d-49bb-9297-bd9d6ae249b5: Sackin index -0.0449; 1.9 s; peak memory 266 MiB.
2026-09-24T00:33:00Z INFO [156/379] 121b9342-fa95-4e19-8af4-9b427f1757b7: Sackin index -0.0702; 6.5 s; peak memory 266 MiB.
2026-09-24T00:33:02Z INFO [157/379] 121c346c-e1ed-4bc9-a021-1b243412f0d8: Sackin index -0.0728; 2.0 s; peak memory 266 MiB.
2026-09-24T00:33:03Z INFO [158/379] 121da5c1-1e62-4edc-8ee1-7d32ddeab1db: Sackin index -0.1613; 1.0 s; peak memory 266 MiB.
2026-09-24T00:33:05Z INFO [159/379] 121dcef4-e731-44db-859f-8f961bc107ed: Sackin index -0.1349; 1.3 s; peak memory 266 MiB.
2026-09-24T00:33:07Z INFO [160/379] 121dfcbe-390b-4e0b-ae3e-10b7e3cd1239: Sackin index -0.0728; 2.0 s; peak memory 266 MiB.
2026-09-24T00:33:08Z INFO [161/379] 121e2cbb-5de4-464d-8f20-7c85137059e8: Sackin index -0.1046; 1.3 s; peak memory 266 MiB.
2026-09-24T00:33:09Z INFO [162/379] 121e8fe4-a633-422b-8a9f-c9116648c46c: Sackin index -0.1349; 1.3 s; peak memory 266 MiB.
