2026-09-25T11:14:34Z INFO Logging to /tmp/logs/update_2026-09-25T11-14-34Z.log.
2026-09-25T11:14:34Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-25T11:14:35Z INFO Processing 381 items (56910 already recorded).
2026-09-25T11:40:52Z INFO [145/381] 1519abe5-1ef3-47ad-a94b-35b1967f7061: Sackin index -0.1938; 1.2 s; peak memory 1253 MiB.
2026-09-25T11:40:53Z INFO [146/381] 151b270b-3bcd-4dc6-909c-d3c42ea807bc: Sackin index -0.0369; 1.6 s; peak memory 1253 MiB.
2026-09-25T11:40:57Z INFO [147/381] 151b4681-196e-4e90-a473-ae379428f203: Sackin index -0.0922; 3.6 s; peak memory 1253 MiB.
2026-09-25T11:41:11Z INFO [148/381] 151b88c8-f512-4a0d-bd78-32906e4e0404: Sackin index -0.0143; 13.7 s; peak memory 1253 MiB.
2026-09-25T11:41:12Z INFO [149/381] 151c049e-8d7e-4377-8072-7f37a3568bbe: Sackin index -0.0709; 1.3 s; peak memory 1253 MiB.
2026-09-25T11:41:14Z INFO [150/381] 151c335c-7bba-4fb9-8a15-d245e645a571: Sackin index -0.0728; 1.7 s; peak memory 1253 MiB.
2026-09-25T11:41:14Z INFO [150/381] 151c335c-7bba-4fb9-8a15-d245e645a571: checkpointed 57060 records.
2026-09-25T11:41:16Z INFO [151/381] 151c87de-b334-4769-b7cc-06db2b1f6725: Sackin index -0.0728; 2.1 s; peak memory 1253 MiB.
2026-09-25T11:41:27Z INFO [152/381] 151caa57-ad4e-4282-ab63-131245fd0ca3: Sackin index -0.0288; 11.3 s; peak memory 1253 MiB.
2026-09-25T11:41:29Z INFO [153/381] 151d1651-bb93-44be-a432-f2e8eee75dbd: Sackin index -0.0275; 2.0 s; peak memory 1253 MiB.
2026-09-25T11:41:31Z INFO [154/381] 151d3583-48b5-4ad2-af40-25c7a63ef7a3: Sackin index -0.0745; 1.7 s; peak memory 1253 MiB.
2026-09-25T11:41:38Z INFO [155/381] 151e3b9e-3c32-4a01-9f46-b2c5603b066c: Sackin index -0.0413; 6.7 s; peak memory 1253 MiB.
2026-09-25T11:41:39Z INFO [156/381] 151e3d83-b8fa-4791-a2f3-20020b4dfc2a: Sackin index -0.1349; 1.3 s; peak memory 1253 MiB.
2026-09-25T11:41:41Z INFO [157/381] 151f3532-5045-4e29-8327-cc247994d12f: Sackin index -0.0413; 1.8 s; peak memory 1253 MiB.
2026-09-25T11:41:42Z INFO [158/381] 151f3b52-65e7-4d29-9584-48482be724c0: Sackin index -0.1349; 1.2 s; peak memory 1253 MiB.
